month_index,horizon,arima,arima_lower_95,arima_upper_95,prophet_linear_growth,prophet_lower_95,prophet_upper_95,lstm_archived_scenario,lstm_lower_95,lstm_upper_95
12,1,111.2941436896,107.4825868331,115.1057005461,96.0366666667,81.0017569807,111.0715763527,103.9812500000,99.5312500000,108.4312500000
13,2,122.2339105575,113.8178097355,130.6500113795,101.4189743590,85.8594341669,116.9785145511,107.9250000000,103.0250000000,112.8250000000
14,3,132.8304199003,118.9167895818,146.7440502188,106.8012820513,90.6630342675,122.9395298350,111.8312500000,106.4812500000,117.1812500000
15,4,143.0944421237,122.9672494373,163.2216348102,112.1835897436,95.4181562303,128.9490232569,115.7000000000,109.9000000000,121.5000000000
16,5,153.0364096901,126.1018614848,179.9709578955,117.5658974359,100.1300306933,135.0017641784,119.5312500000,113.2812500000,125.7812500000
17,6,162.6664277220,128.4211633592,196.9116920848,122.9482051282,104.8034508985,141.0929593579,123.3250000000,116.6250000000,130.0250000000
18,7,171.9942842731,130.0053896055,213.9831789406,128.3305128205,109.4427460952,147.2182795458,127.0812500000,119.9312500000,134.2312500000
19,8,181.0294602768,130.9209290930,231.1379914606,133.7128205128,114.0517847696,153.3738562561,130.8000000000,123.2000000000,138.4000000000
20,9,189.7811391830,131.2241644889,248.3381138770,139.0951282051,118.6339970061,159.5562594041,134.4812500000,126.4312500000,142.5312500000
21,10,198.2582162920,130.9639197684,265.5525128157,144.4774358974,123.1924077742,165.7624640207,138.1250000000,129.6250000000,146.6250000000
22,11,206.4693077960,130.1831085491,282.7555070430,149.8597435897,127.7296752824,171.9898118971,141.7312500000,132.7812500000,150.6812500000
23,12,214.4227595366,128.9198941085,299.9256249646,155.2420512821,132.2481304944,178.2359720697,145.3000000000,135.9000000000,154.7000000000
24,13,222.1266554873,127.2085355382,317.0447754365,160.6243589744,136.7498153787,184.4989025701,148.8312500000,138.9812500000,158.6812500000
25,14,229.5888259708,125.0800235840,334.0976283575,166.0066666667,141.2365185154,190.7768148180,152.3250000000,142.0250000000,162.6250000000
26,15,236.8168556171,122.5625705600,351.0711406742,171.3889743590,145.7098073984,197.0681413195,155.7812500000,145.0312500000,166.5312500000
27,16,243.8180910731,119.6819959738,367.9541861725,176.7712820513,150.1710572222,203.3715068804,159.2000000000,148.0000000000,170.4000000000
28,17,250.5996484698,116.4620357076,384.7372612320,182.1535897436,154.6214762224,209.6857032648,162.5812500000,150.9312500000,174.2312500000
29,18,257.1684206548,112.9245939126,401.4122473970,187.5358974359,159.0621277917,216.0096670801,165.9250000000,153.8250000000,178.0250000000
30,19,263.5310841987,109.0899511398,417.9722172576,192.9182051282,163.4939496683,222.3424605881,169.2312500000,156.6812500000,181.7812500000
31,20,269.6941061809,104.9769384588,434.4112739030,198.3005128205,167.9177705182,228.6832551228,172.5000000000,159.5000000000,185.5000000000
32,21,275.6637507632,100.6030847419,450.7244167844,203.6828205128,172.3343242320,235.0313167936,175.7312500000,162.2812500000,189.1812500000
33,22,281.4460855562,95.9847424812,466.9074286313,209.0651282051,176.7442622337,241.3859941765,178.9250000000,165.0250000000,192.8250000000
34,23,287.0469877873,91.1371962246,482.9567793501,214.4474358974,181.1481640731,247.7467077218,182.0812500000,167.7312500000,196.4312500000
35,24,292.4721502735,86.0747567783,498.8695437687,219.8297435897,185.5465465430,254.1129406365,185.2000000000,170.4000000000,200.0000000000
36,25,297.7270872082,80.8108436362,514.6433307802,225.2120512821,189.9398715327,260.4842310314,188.2812500000,173.0312500000,203.5312500000
37,26,302.8171397656,75.3580575795,530.2762219518,230.5943589744,194.3285527981,266.8601651506,191.3250000000,175.6250000000,207.0250000000
38,27,307.7474815299,69.7282450002,545.7667180595,235.9766666667,198.7129618082,273.2403715251,194.3312500000,178.1812500000,210.4812500000
39,28,312.5231237532,63.9325552013,561.1136923051,241.3589743590,203.0934328006,279.6245159174,197.3000000000,180.7000000000,213.9000000000
40,29,317.1489204496,57.9814916923,576.3163492069,246.7412820513,207.4702671604,286.0122969421,200.2312500000,183.1812500000,217.2812500000
41,30,321.6295733285,51.8849583199,591.3741883371,252.1235897436,211.8437372219,292.4034422653,203.1250000000,185.6250000000,220.6250000000
42,31,325.9696365736,45.6523009251,606.2869722220,257.5058974359,216.2140895728,298.7977052990,205.9812500000,188.0312500000,223.9312500000
43,32,330.1735214716,39.2923451052,621.0546978380,262.8882051282,220.5815479351,305.1948623213,208.8000000000,190.4000000000,227.2000000000
44,33,334.2455008964,32.8134305650,635.6775712278,268.2705128205,224.9463156794,311.5947099616,211.5812500000,192.7312500000,230.4312500000
45,34,338.1897136515,26.2234424677,650.1559848353,273.6528205128,229.3085780251,317.9970630005,214.3250000000,195.0250000000,233.6250000000
46,35,342.0101686771,19.5298401332,664.4904972210,279.0351282051,233.6685039698,324.4017524405,217.0312500000,197.2812500000,236.7812500000
47,36,345.7107491246,12.7396833803,678.6818148690,284.4174358974,238.0262479839,330.8086238110,219.7000000000,199.5000000000,239.9000000000
48,37,349.2952163038,5.8596567698,692.7307758379,289.7997435897,242.3819515031,337.2175356764,222.3312500000,201.6812500000,242.9812500000
49,38,352.7672135056,-1.1039080314,706.6383350426,295.1820512821,246.7357442450,343.6283583191,224.9250000000,203.8250000000,246.0250000000
50,39,356.1302697051,-8.1450115749,720.4055509851,300.5643589744,251.0877453726,350.0409725761,227.4812500000,205.9312500000,249.0312500000
51,40,359.3878031488,-15.2579674752,734.0335737727,305.9466666667,255.4380645251,356.4552688082,230.0000000000,208.0000000000,252.0000000000
